Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID
28 March 2022	riafan.ru	https://riafan.ru/22574378-shanhai_ushel_na_samuyu_masshtabnuyu_za_dva_goda_izolyatsiyu_iz_za_rosta_sluchaev_koronavirusa	шанхай ушел на самую масштабную за два года изоляцию из за роста случаев коронавируса   пожилые россияне получат в апреле повышенные выплаты   голос мордора  нравится  не нравится   газ за рубли  красавица   bloomberg  в нато произошел раскол по вопросу диалога с путиным об украине	1
21 March 2022	riafan.ru	https://riafan.ru/22568192-vnebrachnii_sin_aleksandra_semcheva_rasskazal_o_pervoi_vstreche_s_akterom	внебрачный сын александра семчева рассказал о первой встрече с актером   пожилые россияне получат в апреле повышенные выплаты   пожилые россияне получат в апреле повышенные выплаты   ск расследует жестокое убийство жительницы мариуполя националистами  азова    пожилые россияне получат в апреле повышенные выплаты   шанхай ушел на самую масштабную за два года изоляцию из за роста случаев коронавируса	1
21 March 2022	riafan.ru	https://riafan.ru/22037311-narkolaboratoriyu_obnaruzhili_v_samarskoi_oblasti	нарколабораторию обнаружили в самарской области   лавров исключил изоляцию россии из за санкций запада   народная милиция днр сообщила о ликвидации трех украинских ракет  точка у    песков прокомментировал ситуацию с видео  на котором пытают российских солдат   тюркин назвал предательством отъезд о дэлла из  динамо  по ходу плей офф	1
21 March 2022	riafan.ru	https://riafan.ru/22036893-kirkorov_napugal_beremennuyu_todorenko_na_shou_maska_	киркоров напугал беременную тодоренко на шоу  маска    мо рф продемонстрировало кадры сопровождения армейских колонн вертолетами ка    и ми  амтш   обстрелы всу в течение суток привели к ранениям    мирных жителей днр   всу обстреляли донецк из крупнокалиберной артиллерии и рсзо  град    народная милиция днр сообщила о ликвидации трех украинских ракет  точка у    политологи винокуров и ордуханян объяснили  почему западу больше не удастся заставить россию играть по своим правилам   уилл смит ударил криса рока по лицу за оскорбления в адрес его жены   шанхай ушел на самую масштабную за два года изоляцию из за роста случаев коронавируса	1
14 February 2022	riafan.ru	https://riafan.ru/1608946-the-washington-post-gambit-putina-razrushil-hitryi-plan-zapada-po-izolyacii-rossii	the washington post   гамбит путина  разрушил хитрый план запада по изоляции россии	1
7 February 2022	riafan.ru	https://riafan.ru/1604198-zaharova-ukazala-na-nesostoyatelnost-utverzhdenii-ob-izolyacii-rossii	захарова указала на несостоятельность утверждений об  изоляции  россии	1
7 February 2022	riafan.ru	https://riafan.ru/1604098-efir-prineset-li-polzu-ekonomike-rossii-izolyaciya-ot-aziatskogo-rynka-rabochei-sily	эфир  принесет ли пользу экономике россии изоляция от азиатского рынка рабочей силы	1
24 January 2022	riafan.ru	https://riafan.ru/1597079-v-mire-procvetaet-politika-dvoinykh-standartov-pochemu-zapadu-ne-udastsya-izolirovat-rossiyu	в мире процветает политика двойных стандартов  почему западу не удастся изолировать россию	1
25 July 2022	rt.com	https://russian.rt.com/world/news/1029899-posolstvo-gosdep-rossiya	в российском посольстве ответили на заявления госдепа об изоляции россии	1
20 June 2022	rt.com	https://russian.rt.com/world/news/1018545-rossiya-zapad-izolyaciya	financial times  западу не удастся изолировать россию от мира	1
13 June 2022	rt.com	https://russian.rt.com/world/news/1015688-putin-zapad-izolyaciya	welt  стратегия запада по изоляции россии и путина не работает	1
23 May 2022	rt.com	https://russian.rt.com/world/news/1008194-volodin-ssha-rossiya	володин заявил о провалившихся попытках сша и ес изолировать россию	1
23 May 2022	rt.com	https://russian.rt.com/world/news/1007109-posol-london-diplomaty	посол россии келин заявил о попытках лондона изолировать российских дипломатов	1
16 May 2022	rt.com	https://russian.rt.com/world/news/1005682-ekonomist-g7-rossiya-izolyaciya	экономист масленников прокомментировал заявление g  о планах изолировать россию от мировой экономики	1
16 May 2022	rt.com	https://russian.rt.com/world/news/1005624-strany-gruppy-semi-rossiya-izolyaciya	минфины g  пообещали продолжать  изолировать россию и белоруссию  от мировой экономики	1
16 May 2022	rt.com	https://russian.rt.com/world/news/1005319-oon-rossiya-zapad-postpred	небензя  запад стремится сломать хребет российской экономики и изолировать россию	1
16 May 2022	rt.com	https://russian.rt.com/world/news/1004237-estoniya-rossiya-izolyaciya	президент эстонии карис признал  что россию не удастся полностью изолировать	1
16 May 2022	rt.com	https://russian.rt.com/world/news/1003986-peskov-izolyaciya-nevozmozhnost	песков  политическая  экономическая и информационная изоляция россии невозможна	1
9 May 2022	rt.com	https://russian.rt.com/world/news/1001718-ssha-rossiya-izolyaciya	палата представителей сша одобрила ряд законопроектов об изоляции россии	1
18 April 2022	rt.com	https://russian.rt.com/world/news/992607-ekonomika-rossii-medvedev	экономист дудчак поддержал слова медведева о невозможности изоляции экономики россии	1
18 April 2022	rt.com	https://russian.rt.com/world/news/992582-medvedev-sankcii-ekonomicheskaya-voina	медведев  задушить и изолировать экономику россии не получится	1
