Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
June 13, 2022	regnum.ru	https://regnum.ru/news/3622686.html	в лондоне началась массовая акция протеста из за рекордной инфляции	1	Inflation in the West
June 13, 2022	regnum.ru	https://regnum.ru/news/3621882.html	экономист ордов назвал инфляцию главным фактором мировой нестабильности	1	Inflation in the West
June 13, 2022	regnum.ru	https://regnum.ru/news/3620338.html	попытки обуздать инфляцию сша грозят привести к рецессии	1	Inflation in the West
June 13, 2022	regnum.ru	https://regnum.ru/news/3619808.html	глава фрс прогнозирует дальнейший рост инфляции в сша	1	Inflation in the West
June 13, 2022	regnum.ru	https://regnum.ru/news/3619803.html	фрс ухудшила прогноз по росту ввп и инфляции в сша в      году	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3613861.html	экономист объяснил  почему запад боится даже небольшого роста инфляции	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3613796.html	мировую экономику ждут рецессия  инфляция и падение доходов   оэср	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3613709.html	глобальная инфляция может ускориться из за политики запада   экономист	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3613702.html	экономист колганов объяснил  как запад разгоняет мировую инфляцию	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3613191.html	в сша заявили об инфляционной спирали   пожирающей  американскую мечту	1	Inflation in the West
June 6, 2022	regnum.ru	https://regnum.ru/news/3612939.html	министр финансов сша заявила о  неприемлемом уровне инфляции  в стране	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/3608664.html	разгон инфляции в сша объяснили длинным периодом  дешевых денег	1	Inflation in the West
May 30, 2022	regnum.ru	https://regnum.ru/news/3606346.html	эрдоган готов добиваться экономического роста даже ценой инфляции   ft	1	Inflation in the West
May 23, 2022	regnum.ru	https://regnum.ru/news/3599435.html	запад разгоняет инфляцию  раскручивая маховик санкционной войны   эксперт	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/3597301.html	названы страны ес с рекордной инфляцией из за санкций против россии	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/3596989.html	экономист объяснил  почему инфляция в прибалтике выше  чем в остальном ес	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/3593366.html	мягкой посадки не будет    экономике сша предсказали усиление инфляции	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/3593311.html	смогут ли финансовые власти сша остановить рекордную инфляцию	1	Inflation in the West
May 16, 2022	regnum.ru	https://regnum.ru/news/3592642.html	продовольственная инфляция грозит гражданскими беспорядками   reuters	1	Inflation in the West
May 9, 2022	regnum.ru	https://regnum.ru/news/3586192.html	экономике евросоюза предсказали рецессию и рекордную инфляцию	1	Inflation in the West
May 2, 2022	regnum.ru	https://regnum.ru/news/3582649.html	глава фрс назвал одним из факторов инфляции в сша ситуацию в китае	1	Inflation in the West
May 2, 2022	regnum.ru	https://regnum.ru/news/3582035.html	финансовым властям ес не справиться с ростом инфляции  прогноз экономиста	1	Inflation in the West
April 25, 2022	regnum.ru	https://regnum.ru/news/3578130.html	в индонезии зафиксирован уровень инфляции ниже  чем в сша и турции	1	Inflation in the West
April 25, 2022	regnum.ru	https://regnum.ru/news/3574801.html	инфляция в европе может достичь рекордных за десятилетия максимумов	1	Inflation in the West
April 18, 2022	regnum.ru	https://regnum.ru/news/3571054.html	немецкий экономист предупредил европу о длительной инфляции и крахе евро	1	Inflation in the West
April 18, 2022	regnum.ru	https://regnum.ru/news/3570886.html	сеть   весь мир уже смеётся    байден обвинил путина и covid    в инфляции	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3567313.html	медведев предрёк ес  благодарность  рядовых европейцев за гиперинфляцию	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3566928.html	инфляция в германии при ограничении энергоресурсов может достигнуть	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3566554.html	санкции сша против рф привели мир к эпохе высокой инфляции   global times	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3565973.html	воронежстат зафиксировали месячную инфляцию в	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3564112.html	сша реагируют на стремительный рост инфляции в марте   спасибо байдену	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3563378.html	отчёт по инфляции в сша принёс на фондовые рынки всплеск волатильности	1	Inflation in the West
April 11, 2022	regnum.ru	https://regnum.ru/news/3562584.html	хитрый план  байдена по снижению инфляции в сша не срабатывает	1	Inflation in the West
April 4, 2022	regnum.ru	https://regnum.ru/news/3558249.html	инфляция в рф перестанет расти и начнет снижаться   экономист марков	1	Inflation in the West
April 4, 2022	regnum.ru	https://regnum.ru/news/3557440.html	глава бундесбанка  германию в      году ожидает инфляция порядка	1	Inflation in the West
April 4, 2022	regnum.ru	https://regnum.ru/news/3555260.html	экономист ильинский назвал страну ес с  чудовищным  ростом инфляции	1	Inflation in the West
April 4, 2022	regnum.ru	https://regnum.ru/news/3555258.html	инфляция в великобритании бьет очередные рекорды   профессор ильинский	1	Inflation in the West
March 28, 2022	regnum.ru	https://regnum.ru/news/3551142.html	риски гиперинфляции в странах ес очень высоки   экономист мастеров	1	Inflation in the West
March 28, 2022	regnum.ru	https://regnum.ru/news/3550666.html	избежит ли экономика ес гиперинфляции в      году  прогноз	1	Inflation in the West
March 28, 2022	regnum.ru	https://regnum.ru/news/3548719.html	рекордная инфляция в сша бьет по демократической партии   политолог	1	Inflation in the West
March 28, 2022	regnum.ru	https://regnum.ru/news/3548636.html	для граждан сша самым острым вопросом в экономике является инфляция   опрос	1	Inflation in the West
March 21, 2022	regnum.ru	https://regnum.ru/news/3543826.html	без российского газа экономику ес ждет рецессия и разгон инфляции   эксперт	1	Inflation in the West
