Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
16 May 2022	regnum.ru	https://regnum.ru/news/polit/3592422.html	зеленский признал сдачу в плен части нацистов на  азовстали	True	378161	(?=.*).*	(наци)	(азовстал)
16 May 2022	regnum.ru	https://regnum.ru/news/3593025.html	дожали нациков  а где натовцы     сеть о зверствах пленных с  азовстали	True	399607	(?=.*).*	(наци)	(азовстал)
16 May 2022	regnum.ru	https://regnum.ru/news/3593484.html	укронацисты с  азовстали  сдались без всяких условий   полянский	True	395233	(?=.*).*	(наци)	(азовстал)
4 April 2022	anna-news.info	https://anna-news.info/basurin-armii-dnr-i-rossii-ostalos-vybit-ukrainskih-natsistov-iz-porta-i-azovstali/	басурин  армии днр и россии осталось выбить украинских нацистов из порта и  азовстали	True	12839	(?=.*).*	(наци)	(азовстал)
4 April 2022	rt.com	https://russian.rt.com/ussr/news/987499-kadyrov-azovstal-krepost-bunker	кадыров заявил о превращении националистами завода  азовсталь  в крепость с бункером	True	245317	(?=.*).*	(наци)	(азовстал)
18 April 2022	rt.com	https://russian.rt.com/ussr/news/992365-minoborony-rossiya-azovstal	минобороны россии предложило националистам и наёмникам на  азовстали  сложить оружие	True	253791	(?=.*).*	(наци)	(азовстал)
18 April 2022	rt.com	https://russian.rt.com/ussr/news/992779-kadyrov-osvobozhdenie-azovstal	кадыров рассказал об освобождении  азовстали  от украинских националистов	True	246716	(?=.*).*	(наци)	(азовстал)
25 April 2022	rt.com	https://russian.rt.com/ussr/news/996721-azovstal-mariupol-nacionalisty	политолог баширов прокомментировал позицию украинских националистов на  азовстали	True	251876	(?=.*).*	(наци)	(азовстал)
2 May 2022	ria.ru	https://ria.ru/20220502/azovstal-1786554237.html	эвакуированные с  азовстали   националисты не выпускали людей с завода	True	232483	(?=.*).*	(наци)	(азовстал)
2 May 2022	ria.ru	https://ria.ru/20220504/komandir-1786702501.html	кадыров призвал командира националистов на  азовстали  выйти на поле боя	True	210192	(?=.*).*	(наци)	(азовстал)
2 May 2022	ria.ru	https://ria.ru/20220505/azovstal-1786912972.html	нацисты с  азовстали  предложили обменять мирных граждан на продукты	True	220614	(?=.*).*	(наци)	(азовстал)
2 May 2022	ria.ru	https://ria.ru/20220506/natsionalisty-1787261801.html	в днр сообщили  что националистам на  азовстали  предлагают сложить оружие	True	206718	(?=.*).*	(наци)	(азовстал)
2 May 2022	ria.ru	https://ria.ru/20220507/azovstal-1787348933.html	националисты на  азовстали  могут использовать автономный дизель генератор	True	205991	(?=.*).*	(наци)	(азовстал)
2 May 2022	military.pravda.ru	https://military.pravda.ru/news/1706240-dalnie_bombardirovschiki_vks/	мощнейшие взрывы  дальние бомбардировщики вкс россии бомбят нацистов на  азовстали	True	9653	(?=.*).*	(наци)	(азовстал)
2 May 2022	military.pravda.ru	https://military.pravda.ru/news/1706301-politolog_predskazal_nacistam/	политолог предсказал нацистам с  азовстали  бесславную гибель	True	6556	(?=.*).*	(наци)	(азовстал)
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1706937-v_plenu_nam_kryshka/	в плену нам крышка   нацисты из  азовстали  обвиняют киев	True	39154	(?=.*).*	(наци)	(азовстал)
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1707419-dozhdemsja_li_my_sdachi_v_plen/	сладков   в подземельях  азовстали  нацисты ни с кем не делятся едой и водой	True	10887	(?=.*).*	(наци)	(азовстал)
