Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
9 May 2022	True	начало конца  освобождение попасной грозит крахом группировке всу в донбассе	417740	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	военный эксперт шурыгин  взятие попасной приблизило окончательный разгром всу в донбассе	417679	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	в сети появились кадры работы российских  солнцепеков  по позициям всу в донбассе	403855	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	события в донбассе на          мая  бои на подступах к угледару  вс рф и силы днр сдавливают нацистов на  азовстали	405574	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	российские силы пво перехватили    беспилотников всу в донбассе и харьковской области	413381	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	события в донбассе на          мая  раскрыт план атаки националистов на новоазовск  наступление на северодонецк	413362	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	сражаются только в последний момент  деян берич назвал главную особенность поведения боевиков всу в донбассе	403259	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	политолог бредихин объяснил  зачем всу создают угрозу экологической катастрофы в донбассе	403498	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	полковник богодухов  киев использует фейки о победах всу в донбассе ради собственного спасения	434407	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	политолог макеева   трибунал по военным преступлениям всу и нацбатов должен состояться в донбассе	428445	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	азовсталь  станет триггером  одна ошибка киева спровоцирует повальную сдачу в плен всу в донбассе	435676	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	переехавший в донбасс музыкант дмитрий мулыгин высказался о нацизме на украине	431806	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	мид лнр  сдавшихся солдат всу привлекли к сбору тел погибших сослуживцев в донбассе	431929	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	события в донбассе на          мая  окружение частей всу под лисичанском  над дебальцево сбита  точка у	417554	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	события в донбассе на          мая  всу минируют входы в подвалы с мирными жителями  мариуполь станет курортом	428556	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 December 2021	True	в лнр заявили о занятии всу здания школы в донбассе	247844	(?=.*).*	(донбасс)	(обстрел|всу|наци)
17 January 2022	True	в днр заявили о переброске в донбасс рсзо и подготовке всу  к боевым действиям	240099	(?=.*).*	(донбасс)	(обстрел|всу|наци)
17 January 2022	True	в днр заявили о прибытии в подразделения всу в донбассе большой партии гранатомётов nlaw	240106	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	лопнули губы  кровь на стенку   как украинские националисты издеваются над жителями донбасса	487145	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	дети горели   журналистка ахмедова о преступлениях всу против мирных граждан донбасса	482897	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	наемники из польши и канады  спецслужбы  чвк  кто воюет на стороне всу в донбассе	481223	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	не боятся и обезболиваются   как всу выдавали наркотики бойцам нацбата  донбасс	482775	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	ск установил еще двух причастных к обстрелам гражданских в донбассе командиров всу	477627	(?=.*).*	(донбасс)	(обстрел|всу|наци)
9 May 2022	True	южные ворота  к группировке всу в донбассе  попасная взята под контроль вс рф и лнр	477701	(?=.*).*	(донбасс)	(обстрел|всу|наци)
16 May 2022	True	ск назвал имя еще одного причастного к обстрелам гражданских в донбассе украинского командира	485728	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	в мид украины назвали ситуацию в донбассе плохой для всу	482989	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	выпуск от            г  котлы для всу и битва дронов в донбассе	486065	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	журналист из сша рассказал о бесчинствах всу в херсонской области и в донбассе	486403	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	митингующие в риме призвали расследовать преступления всу в донбассе	483325	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	от украинских обстрелов донецка до успехов на передовой  что известно об обстановке в донбассе	486288	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	мо рф  украинские неонацисты продолжают использовать гражданскую инфраструктуру донбасса в военных целях	480327	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	страшные разрушения  что известно о массированных обстрелах всу городов донбасса	480325	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	в италии начали сбор подписей за расследование преступлений всу в донбассе	483841	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	ск рф возбудил два дела против украинских военных из за обстрелов городов донбасса	481669	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	задержаны два командира всу  отдававшие приказы стрелять по жилым домам в донбассе	485531	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	материалы следствия  как всу обрушили семь сотен снарядов и мин за сутки на донбасс    июня	485312	(?=.*).*	(донбасс)	(обстрел|всу|наци)
20 June 2022	True	ск рф возбудил новые уголовные дела против бойцов всу из за обстрелов жителей донбасса	482888	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	bild  всу применяют в донбассе немецкие гаубицы	485635	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	всу оставляют позиции  что известно о боевых действиях в донбассе	486851	(?=.*).*	(донбасс)	(обстрел|всу|наци)
13 June 2022	True	военные рф уничтожили    генералов и офицеров всу  сеть   за донбасс	373503	(?=.*).*	(донбасс)	(обстрел|всу|наци)
