fetchdate_orig	page_domain_root	page_url	title_new	ID
06/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/241952	российские военные завершают освобождение святогорска	110201
25/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/243379	в освобождённом мариуполе полным ходом идёт разминирование	106829
27/06/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/243495	в лнр намерены к концу недели полностью освободить лисичанск	127349
04/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244021	шойгу доложил путину об освобождении лнр	120079
08/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244367	минобороны рассекретило архив об освобождении одессы от фашистов	92817
14/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/244777	мо  в освобожденных украинских городах восстановлена муниципальная власть	121779
19/07/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/245181	силы днр и лнр освободили     населенных пункта	103753
01/01/2022 00:00:00	tver.kp.ru	https://pda.tver.kp.ru/online/news/4577203/	старицкий район отмечает    ю годовщину освобождения от немецко фашистских захватчиков	120721
10/01/2022 00:00:00	tver.kp.ru	https://pda.tver.kp.ru/online/news/4583218/	исполнилось    лет со дня освобождения поселка пено тверской области от немецких оккупантов	50451
05/06/2022 00:00:00	tver.kp.ru	https://pda.tver.kp.ru/online/news/4776058/	в твери заменят памятник воину освободителю	106211
01/01/2022 00:00:00	tverlife.ru	https://tverlife.ru/regional/igor-rudenja-pozdravil-zhitelej-starickogo-rajona-s-80-letiem-osvobozhdenija-ot-nemecko-fashistskih-zahvatchikov/	игорь руденя поздравил жителей старицкого района с    летием освобождения от немецко фашистских захватчиков   tverlife ru	120699
30/01/2022 00:00:00	tverlife.ru	https://tverlife.ru/inregion/v-toropce-otmetili-den-osvobozhdenija-goroda-ot-nemecko-fashistskih-zahvatchikov/	в торопце отметили день освобождения города от немецко фашистских захватчиков   tverlife ru	63396
20/05/2022 00:00:00	riafan.ru	https://riafan.ru/23448361-zhurnalist_tsiganov_ob_osvobozhdenii_kievom_prestupnikov_vidimo_dela_u_vsu_sovsem_plohi	журналист цыганов об освобождении киевом преступников  видимо  дела у всу совсем плохи	428520
20/05/2022 00:00:00	riafan.ru	https://riafan.ru/23448379-v_osvobozhdennom_rubezhnom_nahodyat_tisyachi_edinits_ukrainskogo_vooruzheniya	в освобожденном рубежном находят тысячи единиц украинского вооружения	428529
21/05/2022 00:00:00	riafan.ru	https://riafan.ru/23448608-dzho_baiden_osvobodil_ot_dolzhnosti_press_sekretarya_pentagona_dzhona_kirbi	джо байден освободил от должности пресс секретаря пентагона джона кирби	420731
21/05/2022 00:00:00	riafan.ru	https://riafan.ru/23449335-tsiganov_plan_kieva_po_osvobozhdeniyu_banditov_pogruzit_ukrainu_v_kriminogennii_haos	цыганов  план киева по освобождению бандитов погрузит украину в криминогенный хаос	421820
21/05/2022 00:00:00	riafan.ru	https://riafan.ru/23449618-voenkor_pol_shakov_opublikoval_pervie_kadri_s_territorii_osvobozhdennogo_zavoda_azovstal	военкор польшаков опубликовал первые кадры с территории освобожденного завода  азовсталь	422911
21/05/2022 00:00:00	riafan.ru	https://riafan.ru/23449661-osvobozhdennii_ot_ukrainskih_natsionalistov_herson_posetila_pervaya_inostrannaya_delegatsiya	освобожденный от украинских националистов херсон посетила первая иностранная делегация	422926
22/05/2022 00:00:00	riafan.ru	https://riafan.ru/23450437-gruppirovka_voisk_ldnr_osvobodila_216_naselennih_punktov_v_donbasse	группировка войск лднр освободила     населенных пунктов в донбассе	426923
22/05/2022 00:00:00	riafan.ru	https://riafan.ru/23451458-pervii_futbol_nii_match_sostoyalsya_v_osvobozhdennom_ot_vsu_mariupole	первый футбольный матч состоялся в освобожденном от всу мариуполе	425285
23/05/2022 00:00:00	riafan.ru	https://riafan.ru/23452235-probivshie_2_5_mesyatsa_v_tambovskoi_oblasti_zhiteli_dnr_vernulis_v_osvobozhdennii_mariupol	пробывшие     месяца в тамбовской области жители днр вернулись в освобожденный мариуполь	424779
28/06/2022 00:00:00	riafan.ru	https://riafan.ru/23509418-sobitiya_na_ukraine_na_12_00_28_iyunya_pochti_tret_lisichanska_osvobozhdena_parizh_peredast_kievu_novuyu_partiyu_btr	события на украине на          июня  почти треть лисичанска освобождена  париж передаст киеву новую партию бтр	437293
28/06/2022 00:00:00	riafan.ru	https://riafan.ru/23509480-politolog_fedorov_lyudi_na_ukraine_zhdut_osvobozhdeniya_vopreki_zapadnoi_propagande	политолог федоров  люди на украине ждут освобождения вопреки западной пропаганде	437183
29/06/2022 00:00:00	riafan.ru	https://riafan.ru/23510776-diplomat_mid_rf_polischuk_ne_isklyuchil_provedenie_referenduma_na_osvobozhdennih_zemlyah_ukraini	дипломат мид рф полищук не исключил проведение референдума на освобожденных землях украины	438162
29/06/2022 00:00:00	riafan.ru	https://riafan.ru/23511057-zhiteli_osvobozhdennogo_sela_borovskoe_rasskazali_o_beschinstvah_ukrainskih_boevikov	жители освобожденного села боровское рассказали о бесчинствах украинских боевиков	438175
30/06/2022 00:00:00	riafan.ru	https://riafan.ru/23512207-pervuyu_svad_bu_sigrali_v_osvobozhdennom_ot_vsu_poselke_volodarskoe	первую свадьбу сыграли в освобожденном от всу поселке володарское	433864
30/06/2022 00:00:00	riafan.ru	https://riafan.ru/23513430-sky_news_rossiiskie_voiska_osvobodyat_lisichansk_ot_ukrainskih_silovikov_v_blizhaishie_dni	sky news  российские войска освободят лисичанск от украинских силовиков в ближайшие дни	428882
01/07/2022 00:00:00	riafan.ru	https://riafan.ru/23514477-aviakompaniya_belavia_po_prezhnemu_schitaet_osvobozhdennii_ot_vsu_herson_ukrainskim_gorodom	авиакомпания  белавиа  по прежнему считает освобожденный от всу херсон украинским городом	430656
02/07/2022 00:00:00	riafan.ru	https://riafan.ru/23515869-vs_rf_osvobodili_ot_ukrainskih_natsionalistov_naselennii_punkt_zolotarevka	вс рф освободили от украинских националистов населенный пункт золотаревка	425365
02/07/2022 00:00:00	riafan.ru	https://riafan.ru/23516269-zhitel_osvobozhdennogo_severodonetska_o_vsu_eto_ne_lyudi_eto_fashisti	житель освобожденного северодонецка о всу   это не люди  это фашисты	422042
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23517184-poddubnii_nazval_osvobozhdenie_lisichanska_krupneishim_uspehom_vs_rf_posle_mariupolya	поддубный назвал освобождение лисичанска крупнейшим успехом вс рф после мариуполя	432613
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23517685-glava_lnr_pasechnik_pozdravil_grazhdan_respubliki_s_osvobozhdeniem_lisichanska	глава лнр пасечник поздравил граждан республики с освобождением лисичанска	423700
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23517725-sobitiya_v_donbasse_na_15_00_3_iyulya_zavershenie_osvobozhdeniya_lnr_v_dnr_gotovyatsya_k_dvizheniyu_na_slavyansk	события в донбассе на         июля  завершение освобождения лнр  в днр готовятся к движению на славянск	432587
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518055-moral_naya_pobeda_politolog_konovalov_otsenil_znachimost_osvobozhdeniya_lnr	моральная победа  политолог коновалов оценил значимость освобождения лнр	423744
