Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
28 February 2022	duma.gov.ru	http://duma.gov.ru/news/53642/	вячеслав никонов  киевский нацистский режим превратил мариуполь в город заложник	True	59941	(?=.*).*	(киев|режим)	(нацис)
28 March 2022	riafan.ru	https://riafan.ru/22652318-tsiganov_o_prisvoenii_kievom_afrikanskih_udobrenii_zapad_virastil_bezzhalostnogo_natsistskogo_monstra	цыганов о присвоении киевом африканских удобрений  запад вырастил безжалостного нацистского монстра	True	408492	(?=.*).*	(киев|режим)	(нацис)
4 April 2022	riafan.ru	https://riafan.ru/22662406-aleksei_selivanov_ob_infovoine_kieva_po_totalitarnosti_ona_operezhaet_propagandu_natsistskogo_reiha	алексей селиванов об инфовойне киева  по тоталитарности она опережает пропаганду нацистского рейха	True	404797	(?=.*).*	(киев|режим)	(нацис)
4 April 2022	riafan.ru	https://riafan.ru/22804671-armen_gasparyan_kiev_razrushaet_infrastrukturu_ukrainskih_gorodov_iz_natsistskih_printsipov	армен гаспарян  киев разрушает инфраструктуру украинских городов из нацистских принципов	True	406918	(?=.*).*	(киев|режим)	(нацис)
4 April 2022	riafan.ru	https://riafan.ru/22870528-politolog_bredihin_politsiya_na_ukraine_stala_chast_yu_neonatsistskogo_rezhima	политолог бредихин  полиция на украине стала частью неонацистского режима	True	418394	(?=.*).*	(киев|режим)	(нацис)
4 April 2022	riafan.ru	https://riafan.ru/22870528-politolog_bredihin_politsiya_na_ukraine_stala_chast_yu_neonatsistskogo_rezhima	политолог бредихин  полиция на украине стала частью неонацистского режима   федеральное агентство новостей no	True	426638	(?=.*).*	(киев|режим)	(нацис)
4 July 2022	tvzvezda.ru	https://tvzvezda.ru/news/20227101736-2g9Gp.html	красное знамя лисичанска  как очередной освобожденный город донбасса оправляется от нацистского режима	True	485659	(?=.*).*	(киев|режим)	(нацис)
21 February 2022	regnum.ru	https://regnum.ru/news/3518778.html	казаки держат оборону в станице луганской  спасённой от нацистского режима	True	366981	(?=.*).*	(киев|режим)	(нацис)
21 February 2022	regnum.ru	https://regnum.ru/news/polit/3518873.html	убивали и насиловали  жители донбасса   о преступлениях киевских нацистов	True	363319	(?=.*).*	(киев|режим)	(нацис)
28 February 2022	regnum.ru	https://regnum.ru/news/polit/3520605.html	нацист   всегда расист  почему киев не выпускает из страны африканцев	True	372415	(?=.*).*	(киев|режим)	(нацис)
