fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
17/01/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/607907/	отключение россии от swift в фрг сравнили с атомной бомбой	True	1951	(?=.*).*	(swift)	()
17/01/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/607907/	отключение россии от swift в фрг сравнили с атомной бомбой   экономика	True	1950	(?=.*).*	(swift)	()
12/02/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/610141/	запад отказался от идеи отключения россии от swift	True	71371	(?=.*).*	(swift)	()
26/02/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/611319/	премьер италии поддержал отключение россии от swift	True	28411	(?=.*).*	(swift)	()
31/05/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/618049/	евросоюз отключит сбербанк от swift	True	110436	(?=.*).*	(swift)	()
14/06/2022 00:00:00	info.sibnet.ru	https://info.sibnet.ru/article/619021/	евросоюз отключит ряд российских банков от swift	True	693	(?=.*).*	(swift)	()
04/05/2022 00:00:00	infox.ru	https://www.infox.ru/news/303/273906-sestoj-paket-sankcij-es-otklucit-sberbank-ot-swift	шестой пакет санкций ес отключит сбербанк от swift	True	70688	(?=.*).*	(swift)	()
06/05/2022 00:00:00	infox.ru	https://www.infox.ru/news/304/274068-tinkoff-bank-priostanovil-swift-perevody-v-evro	тинькофф банк приостановил swift переводы в евро	True	4367	(?=.*).*	(swift)	()
08/07/2022 00:00:00	infox.ru	https://www.infox.ru/news/304/277930-swift-podorozal-gazprombank-uvelicil-komissiu-v-razy	swift подорожал  газпромбанк увеличил комиссию в разы	True	77603	(?=.*).*	(swift)	()
17/01/2022 00:00:00	inosmi.ru	https://inosmi.ru/politic/20220117/251316131.html	санкции с отключением россии от swift убираются со стола  ес и сша отказываются от исключения россии из глобальной финансовой системы  handelsblatt  германия	True	318221	(?=.*).*	(swift)	()
17/01/2022 00:00:00	inosmi.ru	https://inosmi.ru/politic/20220117/251316131.html	санкции с отключением россии от swift убираются со стола  ес и сша отказываются от исключения россии из глобальной финансовой системы  handelsblatt  германия    политика   иносми	True	318217	(?=.*).*	(swift)	()
27/01/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220127/swift-252746343.html	cnn  сша   что такое swift  и почему он может стать самым страшным для россии оружием	True	319418	(?=.*).*	(swift)	()
01/02/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220201/sanktsii-252820183.html	немцы  без swift придется ежедневно слать в россию самолет с наличкой за газ	True	318870	(?=.*).*	(swift)	()
03/02/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220203/swift-252849184.html	запад хочет отключить россию от swift  и остаться без газа	True	319854	(?=.*).*	(swift)	()
25/02/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220225/sanktsii-253196150.html	европу ждет кризис  если отключить россию от swift	True	319298	(?=.*).*	(swift)	()
25/02/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220225/swift-253192711.html	россии не страшно отключение от swift  а западу придется несладко	True	319313	(?=.*).*	(swift)	()
01/03/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220301/ekonomika-253237909.html	отключение от swift не станет для российской экономики  ядерной бомбой	True	320198	(?=.*).*	(swift)	()
03/03/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220302/swift-253259569.html	последствия отключения россии от swift бросают запад в дрожь	True	319087	(?=.*).*	(swift)	()
15/04/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220415/dollar-253809399.html	swift без россии поставила под угрозу существование доллара	True	320876	(?=.*).*	(swift)	()
26/05/2022 00:00:00	inosmi.ru	https://inosmi.ru/20220526/gaz-254286598.html	американцы  говорили  что отключение от swift поставит путина на колени  не вышло	True	321741	(?=.*).*	(swift)	()
27/02/2022 00:00:00	internovosti.ru	http://www.internovosti.ru/text/?id=144145	сша намерены сохранить в swift некоторые банки рф	True	31592	(?=.*).*	(swift)	()
17/01/2022 00:00:00	iz.ru	https://iz.ru/1278330/2022-01-17/smi-uznali-ob-otkaze-ssha-i-es-ot-varianta-otkliucheniia-rf-ot-swift	сми узнали об отказе сша и ес от варианта отключения рф от swift	True	127961	(?=.*).*	(swift)	()
12/02/2022 00:00:00	iz.ru	https://iz.ru/1290545/2022-02-12/reuters-iskliuchilo-otkliuchenie-rossii-ot-swift-v-kachestve-sanktcii-ssha-i-es	reuters исключило отключение россии от swift в качестве санкций сша и ес	True	131826	(?=.*).*	(swift)	()
27/02/2022 00:00:00	iz.ru	https://iz.ru/1297551/2022-02-27/kabmin-frg-zaiavil-chto-popavshie-pod-sanktcii-rossiiskie-banki-budut-iskliucheny-iz-swift	кабмин фрг заявил  что попавшие под санкции российские банки будут исключены из swift	True	132737	(?=.*).*	(swift)	()
21/04/2022 00:00:00	iz.ru	https://iz.ru/1324251/2022-04-21/swift-soobshchila-o-snizhenii-doli-evro-v-mirovykh-raschetakh-v-marte	swift сообщила о снижении доли евро в мировых расчетах в марте	True	134439	(?=.*).*	(swift)	()
04/05/2022 00:00:00	iz.ru	https://iz.ru/1329773/2022-05-04/politico-uznala-o-planakh-evrokomissii-otkliuchit-ot-swift-dva-rossiiskikh-banka	politico узнала о планах еврокомиссии отключить от swift два российских банка	True	133275	(?=.*).*	(swift)	()
04/05/2022 00:00:00	iz.ru	https://iz.ru/1329796/2022-05-04/politico-evrokomissiia-rassmatrivaet-vopros-ob-otkliuchenii-rosselkhozbanka-i-mkb-ot-swift	politico  еврокомиссия рассматривает вопрос об отключении россельхозбанка и мкб от swift	True	133258	(?=.*).*	(swift)	()
20/01/2022 00:00:00	kazanfirst.ru	https://kazanfirst.ru/news/570366	песков заявил  что на украине после отключения россии от swift начнется гражданская война	True	4127	(?=.*).*	(swift)	()
27/02/2022 00:00:00	klops.ru	https://klops.ru/news/2022-02-27/248430-popavshie-pod-sanktsii-banki-rf-otklyuchat-ot-swift	попавшие под санкции банки рф отключат от swift	True	28821	(?=.*).*	(swift)	()
17/01/2022 00:00:00	km.ru	https://www.km.ru/world/2022/01/17/evropeiskii-soyuz-es/894416-zapad-otkazalsya-ot-idei-otklyuchit-rossiyu-ot-swift	запад отказался от идеи отключить россию от swift	True	33108	(?=.*).*	(swift)	()
23/01/2022 00:00:00	ko.ru	https://ko.ru/news/britaniya-podderzhit-otklyuchenie-rossii-ot-swift/	британия поддержит отключение россии от swift	True	2012	(?=.*).*	(swift)	()
26/02/2022 00:00:00	ko.ru	https://ko.ru/news/vse-evropeyskie-strany-podderzhali-otklyuchenie-rossii-ot-swift/	все европейские страны поддержали отключение россии от swift	True	33871	(?=.*).*	(swift)	()
30/03/2022 00:00:00	ko.ru	https://ko.ru/news/velikobritaniya-dopustila-rasshirenie-antirossiyskikh-mer-po-dostupu-k-swift/	великобритания допустила расширение антироссийских мер по доступу к swift	True	21048	(?=.*).*	(swift)	()
17/01/2022 00:00:00	kommersant.ru	https://www.kommersant.ru/doc/5171540	handelsblatt  сша и ес отказались от идеи отключения россии от swift	True	507352	(?=.*).*	(swift)	()
17/01/2022 00:00:00	kommersant.ru	https://www.kommersant.ru/doc/5171643	власти сша и фрг прокомментировали возможность отключения россии от swift	True	507343	(?=.*).*	(swift)	()
14/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/14/swift/	в германии оценили последствия отключения россии от swift для запада	True	287609	(?=.*).*	(swift)	()
16/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/16/market_bomb/	в германии сравнили отключение россии от swift с  атомной бомбой  для рынка	True	279745	(?=.*).*	(swift)	()
17/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/17/problems/	сенатор рассказал о проблемах для запада при отключении россии от swift	True	274994	(?=.*).*	(swift)	()
17/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/17/vse_vozmozhno/	сша отреагировали на заявление об отказе отключать россию от swift	True	274993	(?=.*).*	(swift)	()
17/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/18/swift_usa/	сша прокомментировали заявления об отказе отключить россию от swift	True	275057	(?=.*).*	(swift)	()
20/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/20/swiftvoin/	кремль увидел угрозу гражданской войны при отключении россии от swift	True	275614	(?=.*).*	(swift)	()
20/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/21/swift/	сша оценят ущерб западу при отключении россии от swift	True	275667	(?=.*).*	(swift)	()
23/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/23/swift/	стало известно о планах британии отключить россию от swift	True	275071	(?=.*).*	(swift)	()
24/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/24/swift_consequences/	названы негативные для сша последствия отключения россии от swift	True	281080	(?=.*).*	(swift)	()
24/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/24/swift_german/	германия сняла с рассмотрения вопрос об отключении россии от swift	True	281076	(?=.*).*	(swift)	()
27/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/27/swift/	медведев рассказал о заготовке россии на случай отключения от swift	True	279351	(?=.*).*	(swift)	()
27/01/2022 00:00:00	lenta.ru	https://lenta.ru/news/2022/01/28/this_again/	в еврокомиссии допустили отключение россии от swift	True	277561	(?=.*).*	(swift)	()
30/03/2022 00:00:00	pda.kp.ru	https://pda.kp.ru/online/news/4686771/	компании в германии пострадали из за отключения от swift части российских банков	True	326927	(?=.*).*	(swift)	()
01/04/2022 00:00:00	pda.kp.ru	https://pda.kp.ru/online/news/4689511/	лавров заявил  что ситуация со swift показала ненадежность западных партнеров	True	324381	(?=.*).*	(swift)	()
15/04/2022 00:00:00	pda.kp.ru	https://pda.kp.ru/online/news/4708132/	японский экономист   отключение россии от swift создало симуляцию  будущего без доллара	True	332967	(?=.*).*	(swift)	()
24/01/2022 00:00:00	tvc.ru	http://www.tvc.ru/news/show/id/231241	берлин отказался обсуждать возможность отключения россии от swift	True	64863	(?=.*).*	(swift)	()
27/02/2022 00:00:00	chto-proishodit.ru	https://chto-proishodit.ru/economy/1152021	экономист остапкович не считает смертельным ударом для россии отключение от swift	True	28617	(?=.*).*	(swift)	()
27/02/2022 00:00:00	comandir.com	https://comandir.com/2022/02/27/441388-grozyat-li-sankczii-ssha-protiv-bankov-dlya-kart-schetov-ryadovyh-rossiyan-i-sistemy-swift.html	чем грозят санкции сша против банков      года  карты  счета  swift	True	28828	(?=.*).*	(swift)	()
20/01/2022 00:00:00	deita.ru	https://deita.ru/article/509612	угрозы сша отключить россию от swift могут отозваться дестабилизацией на украине	True	4641	(?=.*).*	(swift)	()
27/01/2022 00:00:00	deita.ru	https://deita.ru/article/510037	отключение swift россии не страшно   медведев	True	27085	(?=.*).*	(swift)	()
25/02/2022 00:00:00	deita.ru	https://deita.ru/article/511713	европа не хочет отключать россию от swift	True	59526	(?=.*).*	(swift)	()
28/02/2022 00:00:00	deita.ru	https://deita.ru/article/511874	россия справится с отключением от swift   экономист	True	62247	(?=.*).*	(swift)	()
28/02/2022 00:00:00	deita.ru	https://deita.ru/article/511968	мид великобритании заявил о первых шагах к полному отключению россии от swift	True	61538	(?=.*).*	(swift)	()
20/01/2022 00:00:00	riafan.ru	https://riafan.ru/1591836-ugrozy-ssha-otklyuchit-rossiyu-ot-swift-mogut-otozvatsya-destabilizaciei-na-ukraine	угрозы сша отключить россию от swift могут отозваться дестабилизацией на украине	True	404516	(?=.*).*	(swift)	()
23/01/2022 00:00:00	riafan.ru	https://riafan.ru/1593218-telegraph-london-rassmatrivaet-otklyuchenie-moskvy-ot-swift-iz-za-kieva	telegraph  лондон рассматривает отключение москвы от swift из за киева	True	408752	(?=.*).*	(swift)	()
26/01/2022 00:00:00	riafan.ru	https://riafan.ru/1595069-politolog-abzalov-otklyuchenie-rossii-ot-swift-obernetsya-dlya-evropy-sereznym-udarom	политолог абзалов  отключение россии от swift обернется для европы серьезным ударом	True	434093	(?=.*).*	(swift)	()
29/01/2022 00:00:00	riafan.ru	https://riafan.ru/1597411-lider-hds-merc-prizval-ne-otklyuchat-rossiyu-ot-swift-chtoby-ne-sdelat-huzhe-evrosoyuzu	лидер хдс мерц призвал не отключать россию от swift  чтобы не сделать хуже евросоюзу	True	406573	(?=.*).*	(swift)	()
12/02/2022 00:00:00	tass.ru	https://tass.ru/ekonomika/13687717	reuters  отключение россии от swift не войдет в итоговые пакеты санкций ес и сша	True	270452	(?=.*).*	(swift)	()
26/02/2022 00:00:00	ura.news	https://ura.news/news/1052535212	риа  новости   макрон поддержал отключение россии от swift	True	297253	(?=.*).*	(swift)	()
27/02/2022 00:00:00	ura.news	https://ura.news/news/1052535297	риа  новости   банки  попавшие под санкции  исключат из swift	True	297191	(?=.*).*	(swift)	()
28/03/2022 00:00:00	ura.news	https://ura.news/news/1052541480	депутаты европарламента  отключение россии от swift угрожает ес	True	297939	(?=.*).*	(swift)	()
31/05/2022 00:00:00	rbc.ru	https://www.rbc.ru/politics/31/05/2022/62953e939a7947efbad5c09b	евросоюз согласовал отключение сбербанка от swift	True	204377	(?=.*).*	(swift)	()
30/06/2022 00:00:00	rbc.ru	https://www.rbc.ru/politics/30/06/2022/62bd761d9a79477e550f02f3	медведев заявил  что запад хотел навредить гражданам отключением от swift	True	204455	(?=.*).*	(swift)	()
13/04/2022 00:00:00	regnum.ru	https://regnum.ru/news/3563898.html	экономист рассказал  чем в итоге обернется отключение рф от swift	True	384814	(?=.*).*	(swift)	()
13/01/2022 00:00:00	ria.ru	https://ria.ru/20220114/udar-1767765583.html	в германии объяснили  как отключение россии от swift ударит по западу	True	207610	(?=.*).*	(swift)	()
20/07/2022 00:00:00	runews24.ru	https://runews24.ru/economy/20/07/2022/7705f5b19a62ff003e739b92287ef70c	газпромбанк ввёл комиссии за обслуживание валютных счетов и swift переводы	True	471077	(?=.*).*	(swift)	()
17/01/2022 00:00:00	rusplt.ru	https://rusplt.ru/economy/zapad-otsenil-riski-i-61e597e.html	запад оценил риски и передумал перекрывать россии доступ к межбанковской системе swift	True	3564	(?=.*).*	(swift)	()
26/02/2022 00:00:00	rusplt.ru	https://rusplt.ru/policy/rossii-ugrozhaet-otklyuchenie-ot-621a0a2.html	россии угрожает отключение от финансовой системы swift	True	26587	(?=.*).*	(swift)	()
