Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
2 May 2022	True	гумкоординатор оон  гражданских с  азовстали  не пытались насильно увезти в россию	145248	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	российские войска анонсировали новые гумкоридоры для эвакуации с  азовстали	145178	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 July 2022	True	украинские националисты обстреляли колонны мчс россии с гуманитарной помощью	429878	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
27 June 2022	True	в днр сообщили об эксгумации на  азовстали      украинских военнослужащих	180400	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 July 2022	True	россия создала два гумкоридора для судов в черном и азовском морях	185083	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	аргумент несостоятельный и лукавый   в мид россии ответили израилю по поводу сотрудничества евреев с нацистами	451436	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 July 2022	True	российские силовики обезвредили пункт обстрела гумконвоев в херсоне	236862	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
16 May 2022	True	колонна волонтеров попала под обстрел при доставке гумпомощи в попасную	428548	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	гуманитарная миссия из хмао попала под обстрел на донбассе	295836	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	глава днр  всу перехватывают гуманитарные грузы для жителей	294373	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	минобороны предложило открыть гумкоридоры и выпустить неонацистов	293724	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
7 March 2022	True	спасенная под киевом девочка рассказала об обстреле всу гумкоридоров	129243	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	националисты обстреляли место выдачи гумпомощи в харькове	129091	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 March 2022	True	огромная очередь образовалась в мариуполе за гумпомощью от россии	130685	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 March 2022	True	всу сорвали эвакуацию жителей мариуполя по гуманитарным коридорам	128098	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	басурин  азов и правый сектор не выпускают жителей мариуполя в гуманитарный коридор	496682	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	открылся гуманитарный коридор из азовстали в мариуполе	499885	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	в днр заявили  что новым гумкоридором из азовстали никто не воспользовался	497595	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	киев сорвал гуманитарную операцию на азовстали	496035	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	мо рф  началом гуманитарной паузы будет поднятие белых флагов на азовстали	499162	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	минобороны рф заявило  что киевские власти сорвали гуманитарную операцию на азовстали	499363	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	гуманитарная колонна попала под обстрел со стороны украины под белгородом	499871	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны рф заявило  что никто не вышел по коридору из  азовстали	140716	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	россия предложила гуманитарный коридор украинским бойцам и наемникам с  азовстали	146973	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	российские военные открыли гумкоридор для украинских боевиков с  азовстали	149057	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны рф  обращение  азова  к иностранцам о коридорах было  не по адресу	141135	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	мизинцев сообщил о срыве украиной гуманитарной операции на  азовстали	140713	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 February 2022	True	россия уничтожила    объекта всу  создаются коридоры для сложивших оружие военных	33040	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
27 December 2021	True	всу увеличивают число снайперов на донбассе   аргументы недели	492097	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
3 January 2022	True	maмыкins tv  родня премьера латвии на службе у нацистов   аргументы недели  балтия	491353	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
17 January 2022	True	талибан  взял газовый след   аргументы недели	491144	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
24 January 2022	True	российский газовоз вернули в калининград   аргументы недели	489198	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 July 2022	True	в херсоне обнаружили точку всу для обстрела гумконвоев	103366	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	загадка  азовстали   почему киев только сейчас  вспомнил  о необходимости гумкоридоров в мариуполе	434558	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	события в донбассе на          апреля  сбитый миг    всу   зеленый коридор  из  азовстали	434571	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	пилот сытник  всу используют гумкоридоры для перегруппировки	436392	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
