fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
09/01/2022 00:00:00	iz.ru	https://iz.ru/1274740/2022-01-10/minsk-vozmutil-otkaz-latvii-i-litvy-pomogat-v-rassledovanii-genotcida	минск возмутил отказ латвии и литвы помогать в расследовании геноцида	True	131365	(?=.*).*	(геноцид)	()
27/01/2022 00:00:00	iz.ru	https://iz.ru/1283049/2022-01-27/byvshie-uzniki-natcizma-poprosili-uchredit-den-genotcida-sovetskogo-naroda	бывшие узники нацизма попросили учредить день геноцида советского народа	True	129540	(?=.*).*	(геноцид)	()
28/01/2022 00:00:00	iz.ru	https://iz.ru/1283460/2022-01-28/lukashenko-nameren-dobitsia-mirovogo-priznaniia-genotcida-belorusov-v-vov	лукашенко намерен добиться мирового признания геноцида белорусов в вов	True	129341	(?=.*).*	(геноцид)	()
13/05/2022 00:00:00	military.pravda.ru	https://military.pravda.ru/news/1708329-likvidirovana_vita_zaverukha/	на украине ликвидирована  леди геноцид  вита заверуха   военкор котёнок	True	2636	(?=.*).*	(геноцид)	()
07/05/2022 00:00:00	mskagency.ru	https://www.mskagency.ru/materials/3210021	ск возбудил дело о геноциде по факту убийства более     женщин в подмосковье в      году	True	11260	(?=.*).*	(геноцид)	()
16/01/2022 00:00:00	news-front.info	https://news-front.info/2022/01/16/ot-genotsida-do-adskih-sanktsiy-zapad-ne-izmenyaet-traditsiyam/	от геноцида до  адских санкций   запад не изменяет традициям   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	41286	(?=.*).*	(геноцид)	()
06/05/2022 00:00:00	mk.ru	https://www.mk.ru/social/2022/05/06/orlovskiy-sud-priznal-genocidom-ubiystva-zhiteley-nacistami-v-gody-voyny.html	орловский суд признал геноцидом убийства жителей нацистами в годы войны	True	140427	(?=.*).*	(геноцид)	()
10/02/2022 00:00:00	rostov.kp.ru	https://pda.rostov.kp.ru/daily/27362/4543807/	слушание о признании геноцида в годы великой отечественной войны в ростове  прямая трансляция из зала суда	True	73661	(?=.*).*	(геноцид)	()
10/02/2022 00:00:00	rostov.kp.ru	https://pda.rostov.kp.ru/online/news/4624081/	youtube заблокировал донской телеканал перед судом о геноциде в ростове	True	71522	(?=.*).*	(геноцид)	()
15/04/2022 00:00:00	rostov.kp.ru	https://pda.rostov.kp.ru/online/news/4709559/	александр бастрыкин в ростове назвал имена обвиняемых в геноциде офицеров всу	True	58333	(?=.*).*	(геноцид)	()
26/05/2022 00:00:00	rostov.kp.ru	https://pda.rostov.kp.ru/online/news/4762886/	сальск  карьер смерти   фильм о геноциде мирного населения показали студентам вузов	True	126572	(?=.*).*	(геноцид)	()
22/02/2022 00:00:00	rusplt.ru	https://rusplt.ru/society/prigozhin-raskritikoval-kantslera-sholtsa-6214ce3.html	пригожин раскритиковал канцлера шольца за слова про  смехотворность  геноцида в донбассе	True	46026	(?=.*).*	(геноцид)	()
