Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
21 March 2022	True	юшков  заморозка резервов россии лишила ес шансов оспорить рублевые расчеты за газ	525564	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	сатановский объяснил хитрость запада с заморозкой российских активов без конфискации	525370	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	швейцария к июлю заморозила     миллиарда долларов российских активов	235190	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	в ек назвали страны  заморозившие больше всего российских активов в европе	229567	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	сми  франция  австрия и фрг заморозили больше всего российских активов в ес	229568	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	италия заморозила активы российских олигархов на     с лишним млн евро	273359	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил    миллиардов евро активов российских бизнесменов	274592	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов сообщил о заморозке      млрд золотовалютных резервов из за санкций	13861	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	власти франции заморозили активы цб россии на сумму     млрд	70849	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	в нидерландах заморозили российские и белорусские активы на      млн	87026	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	япония намерена запретить поставки угля из россии и заморозить активы  сбербанка	334689	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	евросоюз заморозил активы четырех российских банков	334528	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	cayman compass  финучреждения каймановых островов заморозили связанные с россией активы на сумму около      млрд	332345	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	нидерланды заморозили     млн евро российских активов	334851	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	чтобы запад не дотянулся  экономист объяснил  как спасти золотовалютные резервы россии от заморозки	331966	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
2 May 2022	True	дали сдачи  что мало не покажется  как россия отвечает западу на заморозку резервов	335013	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	сми  заморозка российских активов подорвала доверие к сша в экономическом мире	158682	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	они не верили в россию  почему заморозка активов российских олигархов   урок  а не трагедия	426375	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	евросоюз хотел бы заморозить активы путина  но они в банке  россия	94934	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	названы страны  заморозившие наибольшее число российских активов	81536	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	в совбезе назвали заморозку активов рф  одной из величайших краж  в истории	179075	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	в сша заявили о  свободном падении рубля  из за заморозки активов цб и банков	22067	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	япония заморозит активы ряда российских банков	28777	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	минфин заявил о заморозке около     млрд долларов золотовалютных резервов россии	34036	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	мишустин сравнил с пиратами страны  заморозившие российские активы	324608	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
10 January 2022	True	суд кипра заморозил часть акций и активов  мечела  по иску от  адвалор консалт	42746	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
31 January 2022	True	times  британия может заморозить активы энергетических компаний рф	97999	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
31 January 2022	True	в великобритании заморозят активы российских энергокомпаний	319405	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил активы российского центробанка на    миллиарда долларов	323263	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов  запад объявил дефолт перед россией  заморозив наши резервы	332785	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	запад заморозил      млрд золотовалютных резервов россии  эксперт рассказал  что теперь будет с нашей экономикой	325612	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	нидерланды заморозили российские активы на     миллионов евро	324838	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	италия заморозила активы российских олигархов на сумму свыше     млн евро	335836	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	лавров назвал воровством заморозку активов центробанка на западе	333818	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	финансист сосновский заявил  что заморозка активов россии в сша повлияет на другие страны	325182	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	чехия заморозила имущество российских бизнесменов на сотни миллионов евро	325165	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 July 2022	True	лавров  сша и евросоюз могут заморозить валютные резервы любых стран	438434	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
20 June 2022	True	российские активы в италии на   миллиарда евро заморозили    июня      г    бизнес   новости санкт петербурга	453633	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
31 January 2022	True	активы заморозят  въезд запретят  какие санкции готовит лондон против москвы	307154	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
20 June 2022	True	угроза     в южной корее обсудили проблему заморозки иранских активов	402390	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
20 June 2022	True	ирландия заморозила российские активы на     млрд евро	396769	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
20 June 2022	True	небензя назвал возмутительной заморозку западом афганских активов	254591	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	замсекретаря совбеза россии  заморозка активов россии   одна из величайших краж в истории	248248	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 July 2022	True	арбитражный суд москвы заморозил активы credit suisse на     млн по просьбе ткб	253218	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 July 2022	True	лавров  ес и сша могут заморозить резервы любой страны  если она вызовет у них раздаржение	254680	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 July 2022	True	лавров  ес и сша могут заморозить резервы любой страны  если она вызовет у них раздражение	254679	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	евросоюз заморозит активы центробанка россии	36377	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	франция заморозила активы банка россии на    млрд евро	68486	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	заморозку активов россии за рубежом посчитали пиратством	9249	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	ес заморозит активы центробанка россии	20816	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	власти франции заморозили активы центробанка	73074	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 April 2022	True	почему цб хочет судиться с западом из за заморозки резервов	113792	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 April 2022	True	стал известен механизм  как запад заморозил российские резервы	118688	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	заморозка российских активов обернется для сша потерей доверия	92452	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
13 June 2022	True	минфин назвал фейком сообщения о планах заморозить валютные счета	500114	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	минфин сша отчитался о заморозке активов россиян на сумму более     млрд	500268	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	в совбезе заморозку российских активов назвали одной из величайших краж	498110	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	еврокомиссия недовольна  что большую часть российских активов заморозили всего пять стран ес	498279	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 July 2022	True	запрет на золото и заморозка активов сбербанка  ес утвердил седьмой пакет санкций против россии	497991	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	в британии заявили  что запад заморозил     валютных резервов россии	139160	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	швейцария заморозила российские активы на    млрд	142043	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	силуанов назвал заморозку зарубежных активов россии кражей	135553	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	банки украины  заморозили  средства пенсионеров  запад активно подпитывает валютой	142419	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	япония утвердила заморозку активов сбербанка и альфа банка с    мая	146516	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	в офшоре джерси заморозили связанные с абрамовичем активы на    млрд	142047	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	на острове джерси заморозили связанные с абрамовичем активы на    млрд	142048	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	в италии заморозили активы усманова на     млн	60884	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 July 2022	True	цб  миллионы россиян пострадали от заморозки активов на сумму     млрд рублей	435197	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил активы центробанка россии на     млрд	383827	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	за решение ес расплатятся частные инвесторы  о заморозке активов цб рф	388901	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	эксперт  активы российских банков в казахстане заморозили по решению сша	383187	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	сети о замороженных в ес активах банка россии   в ответ мы заморозили ес	401570	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	в ес заморозили активы банка россии на сумму около     млрд   reuters	401601	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
30 May 2022	True	банк россии оценил последствия заморозки евросоюзом активов цб рф	402127	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
6 June 2022	True	плату за аренду госимущества в белоруссии заморозили почти на два года	384298	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
31 January 2022	True	лондон заморозит активы российских энергетических компаний в случае вторжения в украину	11051	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	нидерланды заморозили российские активы на     млн евро	501876	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	франция заморозила активы центробанка россии на сумму    млрд евро	504042	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	италия заморозила активы российских бизнесменов на сумму более     млн евро	504552	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	в люксембурге заморозили российские активы на      млрд	500895	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	в люксембурге заморозили российские активы на     млрд евро	500894	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	лондон заморозил активы трех британских компаний в рамках санкций по украине	500787	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	власти польши заморозили активы  северстали	501086	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	ес заморозил активы граждан россии на    млрд евро	504108	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	нидерланды заморозили до     млн евро российских активов	504798	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 April 2022	True	британский офшор джерси заморозил связанные с абрамовичем активы на    млрд	504355	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 April 2022	True	нидерланды заморозили российские активы на     млн евро	505226	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	dpa  ес заморозил активы российских бизнесменов на сумму около    млрд евро	506831	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	николай берзон  заморозка активов банка россии не угрожает рублевым сбережениям граждан    нта приволжье  новости н  новгорода	20527	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
31 January 2022	True	мид британии заявил о заморозке активов российских компаний в случае  вторжения  на украину	326067	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	борис джонсон заявил о заморозке всех активов втб в британии	328637	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	евросоюз планирует заморозить половину резервов банка россии	332420	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	британия заявила о заморозке активов всех российских банков в ближайшие дни	331419	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	александр венедиктов  заморозка российских активов   одна из величайших краж в истории	142534	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	g  хочет заморозить половину финансовых резервов цб рф	56627	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	европа сбросила на нас аналог атомной бомбы   делягин о заморозке резервов цб	60585	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	италия заморозила имущество подсанкционных россиян	115767	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	нидерланды заморозили российские активы на     миллионов евро	178772	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	люксембург заморозил активы рф на     млрд евро	175839	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
24 January 2022	True	песков ответил на призывы сша заморозить  активы путина    риа новости	211954	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	минфин рф  заморозка валютных счетов цб западом направлена на создание дефолта в россии	529594	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	франция заморозила активы банка россии на сумму    млрд евро	531056	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	мишустин назвал заморозку активов рф за рубежом  типичным пиратством	529015	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	евросоюз заморозил активы  открытия   втб  новикомбанка и совкомбанка	530849	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	торговые центры попросили заморозить налоги на землю и имущество	532078	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	reuters  евросоюз заморозил активы банка россии на сумму около    млрд евро	531972	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	ft  заморозка активов рф приведет к краху международной системы политической экономии	437437	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	нидерланды заморозили многомиллионные российские активы	293630	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	франция заморозила активы центробанка рф	296842	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	сша полностью заморозили активы сбербанка и  альфа банка	295453	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	политологи  бизнесмены рф сами виноваты в заморозке активов в ес	297460	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	австрия заморозила активы россиян на     млн евро	296460	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	великобритания заморозила активы трех своих компаний из за связей с россией	275599	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	экономист рассказал о трудном выборе россии из за заморозки валютных резервов	276494	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	европа объявила о заморозке активов ключевых российских банков	285690	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	власти ес заморозили российские и белорусские активы почти на    миллиардов евро	283314	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
